index,memory
0,  98532
   400,  98532
   800,  98532
  1200,  98532
  1600,  98532
  2000,  98532
  2400,  98532
  2800,  98532
  3200,  98532
  3600,  98532
  4000,  98532
  4400,  98532
  4800,  98532
  5200,  98532
  5600,  98532
  6000,  98532
  6400,  98532
  6800,  98532
  7200,  98532
  7600,  98532
  8000,  98532
  8400,  98532
  8800,  98532
  9200,  98532
  9600,  98532
 10000,  98532
 10400,  98532
 10800,  98532
 11200,  98532
 11600,  98532
 12000,  98532
 12400,  98532
 12800,  98532
 13200,  98532
 13600,  98532
 14000,  98532
 14400,  98532
 14800,  98532
 15200,  98532
 15600,  98532
 16000,  98532
 16400,  98532
 16800,  98532
 17200,  98532
 17600,  98532
 18000,  98532
 18400,  98532
 18800,  98532
 19200,  98532
 19600,  98532
 20000,  98532
 20400,  98532
 20800,  98532
 21200,  98532
 21600,  98532
 22000,  98532
 22400,  98532
 22800,  98532
 23200,  98532
 23600,  98532
 24000,  98532
 24400,  98532
 24800,  98532
 25200,  98532
 25600,  98532
 26000,  98532
 26400,  98532
 26800,  98532
 27200,  98532
 27600,  98532
 28000,  98532
 28400,  98532
 28800,  98532
 29200,  98532
 29600,  98532
 30000,  98532
 30400,  98532
 30800,  98532
 31200,  98532
 31600,  98532
 32000,  98532
 32400,  98532
 32800,  98532
 33200,  98532
 33600,  98532
 34000,  98532
 34400,  98532
 34800,  98532
 35200,  98532
 35600,  98532
 36000,  98532
 36400,  98532
 36800,  98532
 37200,  98532
 37600,  98532
 38000,  98532
 38400,  98532
 38800,  98532
 39200,  98532
 39600,  98532
