index,time
    1,  0.000000
   401,  0.003000
   801,  0.007000
  1201,  0.013000
  1601,  0.018000
  2001,  0.022000
  2401,  0.024000
  2801,  0.029000
  3201,  0.034000
  3601,  0.039000
  4001,  0.042000
  4401,  0.046000
  4801,  0.052000
  5201,  0.053000
  5601,  0.058000
  6001,  0.061000
  6401,  0.068000
  6801,  0.074000
  7201,  0.075000
  7601,  0.082000
  8001,  0.084000
  8401,  0.096000
  8801,  0.092000
  9201,  0.097000
  9601,  0.101000
 10001,  0.102000
 10401,  0.126000
 10801,  0.112000
 11201,  0.146000
 11601,  0.125000
 12001,  0.154000
 12401,  0.134000
 12801,  0.132000
 13201,  0.139000
 13601,  0.143000
 14001,  0.145000
 14401,  0.152000
 14801,  0.154000
 15201,  0.160000
 15601,  0.163000
 16001,  0.170000
 16401,  0.168000
 16801,  0.176000
 17201,  0.178000
 17601,  0.182000
 18001,  0.188000
 18401,  0.190000
 18801,  0.195000
 19201,  0.201000
 19601,  0.202000
 20001,  0.207000
 20401,  0.217000
 20801,  0.225000
 21201,  0.230000
 21601,  0.229000
 22001,  0.239000
 22401,  0.234000
 22801,  0.243000
 23201,  0.243000
 23601,  0.249000
 24001,  0.264000
 24401,  0.254000
 24801,  0.286000
 25201,  0.264000
 25601,  0.268000
 26001,  0.276000
 26401,  0.281000
 26801,  0.314000
 27201,  0.286000
 27601,  0.287000
 28001,  0.301000
 28401,  0.302000
 28801,  0.321000
 29201,  0.306000
 29601,  0.308000
 30001,  0.322000
 30401,  0.321000
 30801,  0.328000
 31201,  0.332000
 31601,  0.332000
 32001,  0.334000
 32401,  0.340000
 32801,  0.357000
 33201,  0.355000
 33601,  0.377000
 34001,  0.367000
 34401,  0.367000
 34801,  0.372000
 35201,  0.370000
 35601,  0.369000
 36001,  0.374000
 36401,  0.377000
 36801,  0.390000
 37201,  0.408000
 37601,  0.447000
 38001,  0.400000
 38401,  0.408000
 38801,  0.416000
 39201,  0.424000
 39601,  0.419000
