index,memory
1,  98593
   401, 114593
   801, 130593
  1201, 146593
  1601, 162593
  2001, 178593
  2401, 194593
  2801, 210593
  3201, 226593
  3601, 242593
  4001, 258593
  4401, 274593
  4801, 290593
  5201, 306593
  5601, 322593
  6001, 338593
  6401, 354593
  6801, 370593
  7201, 386593
  7601, 402593
  8001, 418593
  8401, 434593
  8801, 450593
  9201, 466593
  9601, 482593
 10001, 498593
 10401, 514593
 10801, 530593
 11201, 546593
 11601, 562593
 12001, 578593
 12401, 594593
 12801, 610593
 13201, 626593
 13601, 642593
 14001, 658593
 14401, 674593
 14801, 690593
 15201, 706593
 15601, 722593
 16001, 738593
 16401, 754593
 16801, 770593
 17201, 786593
 17601, 802593
 18001, 818593
 18401, 834593
 18801, 850593
 19201, 866593
 19601, 882593
 20001, 898593
 20401, 914593
 20801, 930593
 21201, 946593
 21601, 962593
 22001, 978593
 22401, 994593
 22801, 1010593
 23201, 1026593
 23601, 1042593
 24001, 1058593
 24401, 1074593
 24801, 1090593
 25201, 1106593
 25601, 1122593
 26001, 1138593
 26401, 1154593
 26801, 1170593
 27201, 1186593
 27601, 1202593
 28001, 1218593
 28401, 1234593
 28801, 1250593
 29201, 1266593
 29601, 1282593
 30001, 1298593
 30401, 1314593
 30801, 1330593
 31201, 1346593
 31601, 1362593
 32001, 1378593
 32401, 1394593
 32801, 1410593
 33201, 1426593
 33601, 1442593
 34001, 1458593
 34401, 1474593
 34801, 1490593
 35201, 1506593
 35601, 1522593
 36001, 1538593
 36401, 1554593
 36801, 1570593
 37201, 1586593
 37601, 1602593
 38001, 1618593
 38401, 1634593
 38801, 1650593
 39201, 1666593
 39601, 1682593
