Iteration,Time,MemoryUsed
Items:      0; Time:  0.000002; Memory:  98537
Items:    200; Time:  0.003116; Memory:  98537
Items:    400; Time:  0.007267; Memory:  98537
Items:    600; Time:  0.010486; Memory:  98537
Items:    800; Time:  0.014117; Memory:  98537
Items:   1000; Time:  0.017879; Memory:  98537
Items:   1200; Time:  0.021763; Memory:  98537
Items:   1400; Time:  0.026185; Memory:  98537
Items:   1600; Time:  0.030042; Memory:  98537
Items:   1800; Time:  0.033937; Memory:  98537
Items:   2000; Time:  0.039409; Memory:  98537
Items:   2200; Time:  0.043080; Memory:  98537
Items:   2400; Time:  0.046145; Memory:  98537
Items:   2600; Time:  0.049687; Memory:  98537
Items:   2800; Time:  0.054714; Memory:  98537
Items:   3000; Time:  0.063685; Memory:  98537
Items:   3200; Time:  0.062710; Memory:  98537
Items:   3400; Time:  0.067861; Memory:  98537
Items:   3600; Time:  0.071829; Memory:  98537
Items:   3800; Time:  0.075644; Memory:  98537
Items:   4000; Time:  0.077832; Memory:  98537
Items:   4200; Time:  0.083877; Memory:  98537
Items:   4400; Time:  0.088674; Memory:  98537
Items:   4600; Time:  0.090116; Memory:  98537
Items:   4800; Time:  0.099301; Memory:  98537
Items:   5000; Time:  0.101297; Memory:  98537
Items:   5200; Time:  0.101463; Memory:  98537
Items:   5400; Time:  0.105155; Memory:  98537
Items:   5600; Time:  0.110916; Memory:  98537
Items:   5800; Time:  0.114025; Memory:  98537
Items:   6000; Time:  0.116970; Memory:  98537
Items:   6200; Time:  0.121473; Memory:  98537
Items:   6400; Time:  0.126292; Memory:  98537
Items:   6600; Time:  0.132909; Memory:  98537
Items:   6800; Time:  0.135405; Memory:  98537
Items:   7000; Time:  0.141151; Memory:  98537
Items:   7200; Time:  0.148907; Memory:  98537
Items:   7400; Time:  0.148778; Memory:  98537
Items:   7600; Time:  0.157133; Memory:  98537
Items:   7800; Time:  0.179336; Memory:  98537
Items:   8000; Time:  0.190714; Memory:  98537
Items:   8200; Time:  0.171055; Memory:  98537
Items:   8400; Time:  0.185935; Memory:  98537
Items:   8600; Time:  0.201154; Memory:  98537
Items:   8800; Time:  0.196563; Memory:  98537
Items:   9000; Time:  0.180366; Memory:  98537
Items:   9200; Time:  0.182996; Memory:  98537
Items:   9400; Time:  0.205787; Memory:  98537
Items:   9600; Time:  0.205277; Memory:  98537
Items:   9800; Time:  0.195620; Memory:  98537
Items:  10000; Time:  0.198632; Memory:  98537
Items:  10200; Time:  0.205158; Memory:  98537
Items:  10400; Time:  0.207332; Memory:  98537
Items:  10600; Time:  0.213317; Memory:  98537
Items:  10800; Time:  0.220690; Memory:  98537
Items:  11000; Time:  0.216390; Memory:  98537
Items:  11200; Time:  0.223845; Memory:  98537
Items:  11400; Time:  0.230525; Memory:  98537
Items:  11600; Time:  0.235611; Memory:  98537
Items:  11800; Time:  0.235323; Memory:  98537
Items:  12000; Time:  0.240929; Memory:  98537
Items:  12200; Time:  0.243731; Memory:  98537
Items:  12400; Time:  0.251426; Memory:  98537
Items:  12600; Time:  0.255348; Memory:  98537
Items:  12800; Time:  0.262786; Memory:  98537
Items:  13000; Time:  0.264130; Memory:  98537
Items:  13200; Time:  0.273406; Memory:  98537
Items:  13400; Time:  0.271049; Memory:  98537
Items:  13600; Time:  0.304487; Memory:  98537
Items:  13800; Time:  0.272980; Memory:  98537
Items:  14000; Time:  0.306912; Memory:  98537
Items:  14200; Time:  0.365238; Memory:  98537
Items:  14400; Time:  0.539443; Memory:  98537
Items:  14600; Time:  0.386366; Memory:  98537
Items:  14800; Time:  0.342217; Memory:  98537
Items:  15000; Time:  0.303191; Memory:  98537
Items:  15200; Time:  0.308588; Memory:  98537
Items:  15400; Time:  0.309729; Memory:  98537
Items:  15600; Time:  0.317154; Memory:  98537
Items:  15800; Time:  0.321059; Memory:  98537
Items:  16000; Time:  0.325945; Memory:  98537
Items:  16200; Time:  0.324612; Memory:  98537
Items:  16400; Time:  0.339554; Memory:  98537
Items:  16600; Time:  0.335669; Memory:  98537
Items:  16800; Time:  0.336898; Memory:  98537
Items:  17000; Time:  0.343013; Memory:  98537
Items:  17200; Time:  0.355060; Memory:  98537
Items:  17400; Time:  0.364902; Memory:  98537
Items:  17600; Time:  0.392844; Memory:  98537
Items:  17800; Time:  0.362761; Memory:  98537
Items:  18000; Time:  0.374172; Memory:  98537
Items:  18200; Time:  0.371404; Memory:  98537
Items:  18400; Time:  0.372706; Memory:  98537
Items:  18600; Time:  0.379825; Memory:  98537
Items:  18800; Time:  0.381130; Memory:  98537
Items:  19000; Time:  0.378240; Memory:  98537
Items:  19200; Time:  0.392468; Memory:  98537
Items:  19400; Time:  0.387484; Memory:  98537
Items:  19600; Time:  0.395639; Memory:  98537
Items:  19800; Time:  0.405063; Memory:  98537
