Iteration,Time,MemoryUsed
Items:   2000; Time:  0.036429; Memory:  98537
Items:   4000; Time:  0.051623; Memory:  98537
Items:   6000; Time:  0.058737; Memory:  98537
Items:   8000; Time:  0.063335; Memory:  98537
Items:  10000; Time:  0.050928; Memory:  98537
Items:  12000; Time:  0.052926; Memory:  98537
Items:  14000; Time:  0.051786; Memory:  98537
Items:  16000; Time:  0.072714; Memory:  98537
Items:  18000; Time:  0.042653; Memory:  98537
Items:  20000; Time:  0.041438; Memory:  98537
Items:  22000; Time:  0.039649; Memory:  98537
Items:  24000; Time:  0.044501; Memory:  98537
Items:  26000; Time:  0.041292; Memory:  98537
Items:  28000; Time:  0.039381; Memory:  98537
Items:  30000; Time:  0.044864; Memory:  98537
Items:  32000; Time:  0.043974; Memory:  98537
Items:  34000; Time:  0.047073; Memory:  98537
Items:  36000; Time:  0.045870; Memory:  98537
Items:  38000; Time:  0.045775; Memory:  98537
Items:  40000; Time:  0.049997; Memory:  98537
Items:  42000; Time:  0.053373; Memory:  98537
Items:  44000; Time:  0.044765; Memory:  98537
Items:  46000; Time:  0.041758; Memory:  98537
Items:  48000; Time:  0.038429; Memory:  98537
Items:  50000; Time:  0.045933; Memory:  98537
Items:  52000; Time:  0.047606; Memory:  98537
Items:  54000; Time:  0.041107; Memory:  98537
Items:  56000; Time:  0.040815; Memory:  98537
Items:  58000; Time:  0.040992; Memory:  98537
Items:  60000; Time:  0.041372; Memory:  98537
Items:  62000; Time:  0.039519; Memory:  98537
Items:  64000; Time:  0.044228; Memory:  98537
Items:  66000; Time:  0.042284; Memory:  98537
Items:  68000; Time:  0.043331; Memory:  98537
Items:  70000; Time:  0.043560; Memory:  98537
Items:  72000; Time:  0.044190; Memory:  98537
Items:  74000; Time:  0.043272; Memory:  98537
Items:  76000; Time:  0.041568; Memory:  98537
Items:  78000; Time:  0.041632; Memory:  98537
Items:  80000; Time:  0.055229; Memory:  98537
Items:  82000; Time:  0.056636; Memory:  98537
Items:  84000; Time:  0.040719; Memory:  98537
Items:  86000; Time:  0.041127; Memory:  98537
Items:  88000; Time:  0.053102; Memory:  98537
Items:  90000; Time:  0.049764; Memory:  98537
Items:  92000; Time:  0.045470; Memory:  98537
Items:  94000; Time:  0.041937; Memory:  98537
Items:  96000; Time:  0.042839; Memory:  98537
Items:  98000; Time:  0.039944; Memory:  98537
Items: 100000; Time:  0.043245; Memory:  98537
Items: 102000; Time:  0.048421; Memory:  98537
Items: 104000; Time:  0.045232; Memory:  98537
Items: 106000; Time:  0.044497; Memory:  98537
Items: 108000; Time:  0.041368; Memory:  98537
Items: 110000; Time:  0.042296; Memory:  98537
Items: 112000; Time:  0.045139; Memory:  98537
Items: 114000; Time:  0.044134; Memory:  98537
Items: 116000; Time:  0.042157; Memory:  98537
Items: 118000; Time:  0.041398; Memory:  98537
Items: 120000; Time:  0.042279; Memory:  98537
Items: 122000; Time:  0.043284; Memory:  98537
Items: 124000; Time:  0.041767; Memory:  98537
Items: 126000; Time:  0.042657; Memory:  98537
Items: 128000; Time:  0.042806; Memory:  98537
Items: 130000; Time:  0.042220; Memory:  98537
Items: 132000; Time:  0.042803; Memory:  98537
Items: 134000; Time:  0.041555; Memory:  98537
Items: 136000; Time:  0.039330; Memory:  98537
Items: 138000; Time:  0.041801; Memory:  98537
Items: 140000; Time:  0.041874; Memory:  98537
Items: 142000; Time:  0.048604; Memory:  98537
Items: 144000; Time:  0.045436; Memory:  98537
Items: 146000; Time:  0.039692; Memory:  98537
Items: 148000; Time:  0.043986; Memory:  98537
Items: 150000; Time:  0.044584; Memory:  98537
Items: 152000; Time:  0.049496; Memory:  98537
Items: 154000; Time:  0.041710; Memory:  98537
Items: 156000; Time:  0.058187; Memory:  98537
Items: 158000; Time:  0.053130; Memory:  98537
Items: 160000; Time:  0.047006; Memory:  98537
Items: 162000; Time:  0.048237; Memory:  98537
Items: 164000; Time:  0.048859; Memory:  98537
Items: 166000; Time:  0.039379; Memory:  98537
Items: 168000; Time:  0.043113; Memory:  98537
Items: 170000; Time:  0.042429; Memory:  98537
Items: 172000; Time:  0.042903; Memory:  98537
Items: 174000; Time:  0.045988; Memory:  98537
Items: 176000; Time:  0.044855; Memory:  98537
Items: 178000; Time:  0.042099; Memory:  98537
Items: 180000; Time:  0.043567; Memory:  98537
Items: 182000; Time:  0.047781; Memory:  98537
Items: 184000; Time:  0.045332; Memory:  98537
Items: 186000; Time:  0.043620; Memory:  98537
Items: 188000; Time:  0.054537; Memory:  98537
Items: 190000; Time:  0.047577; Memory:  98537
Items: 192000; Time:  0.052329; Memory:  98537
Items: 194000; Time:  0.052246; Memory:  98537
Items: 196000; Time:  0.055325; Memory:  98537
Items: 198000; Time:  0.078751; Memory:  98537
Items: 200000; Time:  0.041416; Memory:  98537
Items: 202000; Time:  0.042246; Memory:  98537
Items: 204000; Time:  0.043815; Memory:  98537
Items: 206000; Time:  0.042196; Memory:  98537
Items: 208000; Time:  0.039860; Memory:  98537
Items: 210000; Time:  0.042174; Memory:  98537
Items: 212000; Time:  0.045697; Memory:  98537
Items: 214000; Time:  0.044005; Memory:  98537
Items: 216000; Time:  0.042242; Memory:  98537
Items: 218000; Time:  0.040825; Memory:  98537
Items: 220000; Time:  0.045621; Memory:  98537
Items: 222000; Time:  0.044454; Memory:  98537
Items: 224000; Time:  0.043753; Memory:  98537
Items: 226000; Time:  0.043618; Memory:  98537
Items: 228000; Time:  0.040588; Memory:  98537
Items: 230000; Time:  0.043136; Memory:  98537
Items: 232000; Time:  0.041609; Memory:  98537
Items: 234000; Time:  0.041949; Memory:  98537
Items: 236000; Time:  0.039955; Memory:  98537
Items: 238000; Time:  0.041298; Memory:  98537
Items: 240000; Time:  0.039963; Memory:  98537
Items: 242000; Time:  0.047081; Memory:  98537
Items: 244000; Time:  0.038133; Memory:  98537
Items: 246000; Time:  0.039534; Memory:  98537
Items: 248000; Time:  0.041390; Memory:  98537
Items: 250000; Time:  0.042302; Memory:  98537
Items: 252000; Time:  0.041061; Memory:  98537
Items: 254000; Time:  0.043155; Memory:  98537
Items: 256000; Time:  0.038962; Memory:  98537
Items: 258000; Time:  0.043378; Memory:  98537
Items: 260000; Time:  0.041650; Memory:  98537
Items: 262000; Time:  0.042334; Memory:  98537
Items: 264000; Time:  0.046954; Memory:  98537
Items: 266000; Time:  0.040703; Memory:  98537
Items: 268000; Time:  0.042286; Memory:  98537
Items: 270000; Time:  0.040112; Memory:  98537
Items: 272000; Time:  0.042399; Memory:  98537
Items: 274000; Time:  0.042089; Memory:  98537
Items: 276000; Time:  0.045778; Memory:  98537
Items: 278000; Time:  0.039758; Memory:  98537
Items: 280000; Time:  0.038619; Memory:  98537
Items: 282000; Time:  0.040545; Memory:  98537
Items: 284000; Time:  0.038776; Memory:  98537
Items: 286000; Time:  0.044958; Memory:  98537
Items: 288000; Time:  0.042157; Memory:  98537
Items: 290000; Time:  0.039152; Memory:  98537
Items: 292000; Time:  0.046871; Memory:  98537
Items: 294000; Time:  0.043576; Memory:  98537
Items: 296000; Time:  0.045340; Memory:  98537
Items: 298000; Time:  0.044762; Memory:  98537
Items: 300000; Time:  0.044614; Memory:  98537
Items: 302000; Time:  0.040237; Memory:  98537
Items: 304000; Time:  0.041931; Memory:  98537
Items: 306000; Time:  0.046806; Memory:  98537
Items: 308000; Time:  0.039493; Memory:  98537
Items: 310000; Time:  0.046743; Memory:  98537
Items: 312000; Time:  0.041748; Memory:  98537
Items: 314000; Time:  0.041398; Memory:  98537
Items: 316000; Time:  0.039680; Memory:  98537
Items: 318000; Time:  0.045131; Memory:  98537
Items: 320000; Time:  0.042893; Memory:  98537
Items: 322000; Time:  0.044006; Memory:  98537
Items: 324000; Time:  0.046807; Memory:  98537
Items: 326000; Time:  0.044806; Memory:  98537
Items: 328000; Time:  0.039711; Memory:  98537
Items: 330000; Time:  0.043827; Memory:  98537
Items: 332000; Time:  0.042148; Memory:  98537
Items: 334000; Time:  0.041907; Memory:  98537
Items: 336000; Time:  0.041496; Memory:  98537
Items: 338000; Time:  0.046723; Memory:  98537
Items: 340000; Time:  0.043019; Memory:  98537
Items: 342000; Time:  0.042793; Memory:  98537
Items: 344000; Time:  0.041104; Memory:  98537
Items: 346000; Time:  0.044619; Memory:  98537
Items: 348000; Time:  0.050446; Memory:  98537
Items: 350000; Time:  0.041249; Memory:  98537
Items: 352000; Time:  0.041019; Memory:  98537
Items: 354000; Time:  0.038986; Memory:  98537
Items: 356000; Time:  0.043473; Memory:  98537
Items: 358000; Time:  0.040998; Memory:  98537
Items: 360000; Time:  0.040311; Memory:  98537
Items: 362000; Time:  0.042405; Memory:  98537
Items: 364000; Time:  0.042663; Memory:  98537
Items: 366000; Time:  0.042918; Memory:  98537
Items: 368000; Time:  0.045836; Memory:  98537
Items: 370000; Time:  0.042254; Memory:  98537
Items: 372000; Time:  0.045389; Memory:  98537
Items: 374000; Time:  0.040862; Memory:  98537
Items: 376000; Time:  0.041610; Memory:  98537
Items: 378000; Time:  0.047181; Memory:  98537
Items: 380000; Time:  0.040936; Memory:  98537
Items: 382000; Time:  0.042604; Memory:  98537
Items: 384000; Time:  0.039654; Memory:  98537
Items: 386000; Time:  0.045423; Memory:  98537
Items: 388000; Time:  0.047013; Memory:  98537
Items: 390000; Time:  0.042464; Memory:  98537
Items: 392000; Time:  0.042601; Memory:  98537
Items: 394000; Time:  0.039174; Memory:  98537
Items: 396000; Time:  0.040893; Memory:  98537
Items: 398000; Time:  0.046447; Memory:  98537
Items: 400000; Time:  0.040229; Memory:  98537
