Iteration,Time,MemoryUsed
Items:      0; Time elapsed:  0.000005; Memory:  98537
Items:    200; Time elapsed:  0.002991; Memory:  98537
Items:    400; Time elapsed:  0.006463; Memory:  98537
Items:    600; Time elapsed:  0.012048; Memory:  98537
Items:    800; Time elapsed:  0.014436; Memory:  98537
Items:   1000; Time elapsed:  0.020245; Memory:  98537
Items:   1200; Time elapsed:  0.025539; Memory:  98537
Items:   1400; Time elapsed:  0.028189; Memory:  98537
Items:   1600; Time elapsed:  0.032087; Memory:  98537
Items:   1800; Time elapsed:  0.035969; Memory:  98537
Items:   2000; Time elapsed:  0.038741; Memory:  98537
Items:   2200; Time elapsed:  0.062946; Memory:  98537
Items:   2400; Time elapsed:  0.049372; Memory:  98537
Items:   2600; Time elapsed:  0.051231; Memory:  98537
Items:   2800; Time elapsed:  0.069291; Memory:  98537
Items:   3000; Time elapsed:  0.061398; Memory:  98537
Items:   3200; Time elapsed:  0.066320; Memory:  98537
Items:   3400; Time elapsed:  0.066086; Memory:  98537
Items:   3600; Time elapsed:  0.074794; Memory:  98537
Items:   3800; Time elapsed:  0.093089; Memory:  98537
Items:   4000; Time elapsed:  0.082798; Memory:  98537
Items:   4200; Time elapsed:  0.090855; Memory:  98537
Items:   4400; Time elapsed:  0.094665; Memory:  98537
Items:   4600; Time elapsed:  0.107398; Memory:  98537
Items:   4800; Time elapsed:  0.101514; Memory:  98537
Items:   5000; Time elapsed:  0.108164; Memory:  98537
Items:   5200; Time elapsed:  0.118454; Memory:  98537
Items:   5400; Time elapsed:  0.107349; Memory:  98537
Items:   5600; Time elapsed:  0.112447; Memory:  98537
Items:   5800; Time elapsed:  0.129492; Memory:  98537
Items:   6000; Time elapsed:  0.124540; Memory:  98537
Items:   6200; Time elapsed:  0.155203; Memory:  98537
Items:   6400; Time elapsed:  0.170888; Memory:  98537
Items:   6600; Time elapsed:  0.142427; Memory:  98537
Items:   6800; Time elapsed:  0.142592; Memory:  98537
Items:   7000; Time elapsed:  0.153068; Memory:  98537
Items:   7200; Time elapsed:  0.152901; Memory:  98537
Items:   7400; Time elapsed:  0.158284; Memory:  98537
Items:   7600; Time elapsed:  0.161007; Memory:  98537
Items:   7800; Time elapsed:  0.160565; Memory:  98537
Items:   8000; Time elapsed:  0.182052; Memory:  98537
Items:   8200; Time elapsed:  0.174845; Memory:  98537
Items:   8400; Time elapsed:  0.181523; Memory:  98537
Items:   8600; Time elapsed:  0.182841; Memory:  98537
Items:   8800; Time elapsed:  0.182042; Memory:  98537
Items:   9000; Time elapsed:  0.182902; Memory:  98537
Items:   9200; Time elapsed:  0.205235; Memory:  98537
Items:   9400; Time elapsed:  0.215913; Memory:  98537
Items:   9600; Time elapsed:  0.206846; Memory:  98537
Items:   9800; Time elapsed:  0.201060; Memory:  98537
Items:  10000; Time elapsed:  0.217511; Memory:  98537
Items:  10200; Time elapsed:  0.211314; Memory:  98537
Items:  10400; Time elapsed:  0.215766; Memory:  98537
Items:  10600; Time elapsed:  0.226665; Memory:  98537
Items:  10800; Time elapsed:  0.230901; Memory:  98537
Items:  11000; Time elapsed:  0.229025; Memory:  98537
Items:  11200; Time elapsed:  0.226310; Memory:  98537
Items:  11400; Time elapsed:  0.240310; Memory:  98537
Items:  11600; Time elapsed:  0.249465; Memory:  98537
Items:  11800; Time elapsed:  0.248402; Memory:  98537
Items:  12000; Time elapsed:  0.245503; Memory:  98537
Items:  12200; Time elapsed:  0.244986; Memory:  98537
Items:  12400; Time elapsed:  0.264786; Memory:  98537
Items:  12600; Time elapsed:  0.261725; Memory:  98537
Items:  12800; Time elapsed:  0.268869; Memory:  98537
Items:  13000; Time elapsed:  0.274239; Memory:  98537
Items:  13200; Time elapsed:  0.274959; Memory:  98537
Items:  13400; Time elapsed:  0.288025; Memory:  98537
Items:  13600; Time elapsed:  0.286627; Memory:  98537
Items:  13800; Time elapsed:  0.309021; Memory:  98537
Items:  14000; Time elapsed:  0.301595; Memory:  98537
Items:  14200; Time elapsed:  0.305151; Memory:  98537
Items:  14400; Time elapsed:  0.307571; Memory:  98537
Items:  14600; Time elapsed:  0.314948; Memory:  98537
Items:  14800; Time elapsed:  0.327061; Memory:  98537
Items:  15000; Time elapsed:  0.318021; Memory:  98537
Items:  15200; Time elapsed:  0.313233; Memory:  98537
Items:  15400; Time elapsed:  0.325606; Memory:  98537
Items:  15600; Time elapsed:  0.338800; Memory:  98537
Items:  15800; Time elapsed:  0.328065; Memory:  98537
Items:  16000; Time elapsed:  0.337208; Memory:  98537
Items:  16200; Time elapsed:  0.345828; Memory:  98537
Items:  16400; Time elapsed:  0.350091; Memory:  98537
Items:  16600; Time elapsed:  0.348121; Memory:  98537
Items:  16800; Time elapsed:  0.378910; Memory:  98537
Items:  17000; Time elapsed:  0.389385; Memory:  98537
Items:  17200; Time elapsed:  0.362340; Memory:  98537
Items:  17400; Time elapsed:  0.371998; Memory:  98537
Items:  17600; Time elapsed:  0.379514; Memory:  98537
Items:  17800; Time elapsed:  0.365467; Memory:  98537
Items:  18000; Time elapsed:  0.389884; Memory:  98537
Items:  18200; Time elapsed:  0.372592; Memory:  98537
Items:  18400; Time elapsed:  0.385319; Memory:  98537
Items:  18600; Time elapsed:  0.397640; Memory:  98537
Items:  18800; Time elapsed:  0.405246; Memory:  98537
Items:  19000; Time elapsed:  0.396720; Memory:  98537
Items:  19200; Time elapsed:  0.421317; Memory:  98537
Items:  19400; Time elapsed:  0.409569; Memory:  98537
Items:  19600; Time elapsed:  0.418565; Memory:  98537
Items:  19800; Time elapsed:  0.437679; Memory:  98537
