index,time
    1,  0.000000
   401,  0.007000
   801,  0.013000
  1201,  0.020000
  1601,  0.028000
  2001,  0.035000
  2401,  0.043000
  2801,  0.049000
  3201,  0.055000
  3601,  0.063000
  4001,  0.069000
  4401,  0.078000
  4801,  0.085000
  5201,  0.092000
  5601,  0.101000
  6001,  0.107000
  6401,  0.114000
  6801,  0.122000
  7201,  0.128000
  7601,  0.135000
  8001,  0.139000
  8401,  0.151000
  8801,  0.155000
  9201,  0.162000
  9601,  0.169000
 10001,  0.177000
 10401,  0.186000
 10801,  0.188000
 11201,  0.197000
 11601,  0.205000
 12001,  0.216000
 12401,  0.235000
 12801,  0.230000
 13201,  0.235000
 13601,  0.246000
 14001,  0.249000
 14401,  0.256000
 14801,  0.265000
 15201,  0.268000
 15601,  0.281000
 16001,  0.288000
 16401,  0.291000
 16801,  0.293000
 17201,  0.305000
 17601,  0.315000
 18001,  0.320000
 18401,  0.352000
 18801,  0.355000
 19201,  0.357000
 19601,  0.352000
 20001,  0.366000
 20401,  0.412000
 20801,  0.367000
 21201,  0.390000
 21601,  0.388000
 22001,  0.395000
 22401,  0.402000
 22801,  0.408000
 23201,  0.415000
 23601,  0.419000
 24001,  0.438000
 24401,  0.452000
 24801,  0.458000
 25201,  0.455000
 25601,  0.459000
 26001,  0.459000
 26401,  0.470000
 26801,  0.485000
 27201,  0.481000
 27601,  0.499000
 28001,  0.499000
 28401,  0.507000
 28801,  0.515000
 29201,  0.520000
 29601,  0.555000
 30001,  0.700000
 30401,  0.647000
 30801,  0.609000
 31201,  0.565000
 31601,  0.595000
 32001,  0.587000
 32401,  0.575000
 32801,  0.600000
 33201,  0.588000
 33601,  0.602000
 34001,  0.632000
 34401,  0.609000
 34801,  0.622000
 35201,  0.635000
 35601,  0.646000
 36001,  0.645000
 36401,  0.654000
 36801,  0.666000
 37201,  0.778000
 37601,  0.727000
 38001,  0.668000
 38401,  0.682000
 38801,  0.715000
 39201,  0.705000
 39601,  0.763000
